Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossQ	Time
1	-23.485	0.5250006	-22.96	-24.01	-19.228	0.36809775	-18.94	-20.23	2348.5	1922.8	4999	-0.4092899	0.15434091	0.9144136	-1.1859019	-0.40912625	0.1543784	0.8057603	-1.2643828	0.0033422976	108.5535979270935
2	-16.65	9.629403	-3.04	-23.86	-24.201	0.63179815	-22.52	-24.8	1665.0	2420.1	9999	-0.9010228	0.15818946	0.38840225	-1.4167438	-0.900896	0.15901431	0.34100118	-1.403226	0.0007260154	245.97095584869385
3	-16.946667	9.807161	-3.09	-24.39	-25.779001	0.08642345	-25.67	-25.92	1694.6666	2577.9	14999	-1.3334361	0.17493208	1.3636719	-1.8521065	-1.3333254	0.17556763	1.4896084	-1.87349	0.0017251711	392.9250557422638
4	-16.82	10.302838	-2.25	-24.2	-21.394001	1.051363	-20.18	-23.4	1682.0	2139.4	19999	-1.7095039	0.18585591	1.1251087	-2.2935667	-1.7094375	0.18643095	1.3310884	-2.282552	0.0031835074	521.5732731819153
5	-16.683334	10.532709	-1.79	-24.35	-18.120998	0.002999497	-18.12	-18.13	1668.3334	1812.1	24999	-2.0104566	0.17320447	0.54860234	-2.5745316	-2.0103798	0.17387703	0.6872879	-2.5632794	0.0039051026	639.3622238636017
6	-16.153334	10.192826	-1.74	-23.54	-460.695	147.525	-18.12	-509.87	1615.3334	1069.5	29999	-2.248642	0.16953796	0.82115966	-2.8090992	-2.2485862	0.17034698	0.87457746	-2.7639842	0.0046085184	728.4163446426392
7	-347.6	235.8661	-14.32	-526.18	-508.937	0.023684347	-508.89	-508.95	1426.6666	893.7	34999	-2.6659303	0.35662642	0.3240836	-10.752452	-2.6649587	0.36841056	0.28566545	-12.303141	10.86766	811.2208118438721
8	-184.87001	230.24123	-21.7	-510.48	-22.539	0.022560734	-22.5	-22.56	1820.3334	2253.9	39999	-4.9881644	1.9883063	1.0364875	-198.6043	-4.9585557	1.9234257	0.3510754	-86.96072	45.340553	950.2141897678375
9	-15.98	10.11	-5.87	-26.09	-25.335	0.2827808	-24.77	-25.62	1598.0	2533.5	44999	-10.086468	3.9542902	-1.4835063	-477.8224	-10.039566	3.6722755	-1.7606164	-184.41862	20.911148	1103.9744346141815
10	-190.38332	236.00185	-23.1	-524.14	-23.589	0.11049426	-23.35	-23.75	2371.6667	2358.9	49999	-14.763533	4.8614454	-4.9228296	-526.11163	-14.722475	4.5323043	-3.9246917	-294.53345	24.14817	1243.377643108368
11	-17.353334	10.358769	-2.76	-25.76	-22.459	0.044822067	-22.39	-22.54	1735.3334	2245.9	54999	-15.799735	4.8853807	-3.8883255	-547.8631	-15.779524	4.606061	-4.750774	-432.88077	18.958715	1402.9498193264008
12	-16.116667	10.902165	-0.7	-24.0	-510.489	0.019214315	-510.46	-510.51	1611.6666	1048.9	59999	-15.333968	5.1294723	-4.5655313	-571.6292	-15.325464	4.9149528	-5.4710507	-501.3624	17.769527	1513.8364126682281
13	-183.27333	225.62126	-23.71	-502.35	-21.389	0.06847641	-21.29	-21.48	1660.6666	2138.9	64999	-14.422484	4.8210025	-5.3631964	-558.86237	-14.419703	4.7445555	-6.3029337	-503.9821	21.097897	1663.5208578109741
14	-16.206667	9.671244	-2.53	-23.15	-513.457	2.6865265	-509.35	-515.24	1620.6666	1345.7	69999	-13.497607	4.8841085	2.4470577	-684.92194	-13.49822	4.859597	-6.373171	-660.65283	19.233156	1773.9784343242645
15	-346.73666	228.22786	-24.01	-512.29	-25.036999	0.09360066	-24.91	-25.12	1340.3334	2503.7	74999	-12.65183	4.6395564	-2.7306724	-573.91876	-12.65375	4.6441126	-5.862107	-540.8279	23.773243	1952.5975618362427
16	-20.123333	4.546034	-13.7	-23.57	-67.83199	149.13599	-18.12	-515.24	2012.3334	1783.2	79999	-11.959376	3.5264752	2.1477866	-579.9495	-11.963031	3.5126867	-5.851036	-539.16284	25.251482	2102.6062071323395
17	-14.61	11.28	-3.33	-25.89	-118.764	198.98221	-18.13	-517.93	1461.0	1876.4	84999	-11.756642	3.6001625	1.4041274	-666.35474	-11.75391	3.5808382	-7.343935	-691.57666	18.274126	2240.186236143112
18	-142.41501	207.74226	-20.98	-502.23	-68.09799	147.87201	-18.12	-511.71	1741.5	1809.8	89999	-12.235263	3.985479	-3.8817067	-667.7879	-12.222717	3.78321	-6.0195427	-620.3705	32.478363	2363.104430913925
19	-16.943335	8.836117	-4.45	-23.42	-18.191	0.14404461	-18.12	-18.55	1694.3334	1819.1	94999	-13.069451	3.4686623	-4.354359	-590.4227	-13.057165	3.3788798	-6.153345	-530.1604	24.860468	2497.0169043540955
20	-15.206668	8.200184	-3.62	-21.42	-18.120998	0.002999497	-18.12	-18.13	1520.6666	1812.1	99999	-13.939888	4.225584	-2.9880393	-562.0885	-13.928654	4.1561365	-6.9934216	-558.9904	21.22253	2621.9122688770294
